INFO  - 2016-06-02 20:14:22.422; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@76f06a16 main
INFO  - 2016-06-02 20:14:22.440; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-06-02 20:14:22.441; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-06-02 20:14:22.442; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-06-02 20:14:22.448; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-06-02 20:14:22.454; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-06-02 20:14:22.457; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/solr/collection1/conf/elevate.xml
INFO  - 2016-06-02 20:14:22.498; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-06-02 20:14:22.499; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@76f06a16 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2016-06-02 20:14:22.549; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=47 
INFO  - 2016-06-02 20:14:22.550; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2016-06-02 20:14:22.551; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2016-06-02 20:14:22.551; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2016-06-02 20:14:22.554; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@76f06a16 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2016-06-02 20:14:22.557; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-06-02 20:14:22.559; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example
INFO  - 2016-06-02 20:14:22.560; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2016-06-02 20:14:22.590; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2016-06-02 20:24:21.532; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&contentType=text/html;charset%3Dutf-8&_=1464879260962} status=0 QTime=1 
INFO  - 2016-06-02 20:24:21.532; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&contentType=text/html;charset%3Dutf-8&_=1464879260968} status=0 QTime=5 
INFO  - 2016-06-02 20:24:21.646; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1464879261626} status=0 QTime=0 
INFO  - 2016-06-02 20:24:21.652; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/replication params={wt=json&command=details&_=1464879261621} status=0 QTime=3 
INFO  - 2016-06-02 20:24:21.653; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={show=index&numTerms=0&wt=json&_=1464879261615} status=0 QTime=7 
INFO  - 2016-06-02 20:24:21.665; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={action=status&wt=json&_=1464879261628} status=503 QTime=9 
INFO  - 2016-06-02 20:24:29.990; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=a&indent=true&wt=xml&_=1464879269979} hits=0 status=0 QTime=3 
INFO  - 2016-06-02 20:29:50.541; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2016-06-02 20:29:50.542; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/solr-webapp/webapp/},/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/webapps/solr.war
INFO  - 2016-06-02 20:29:51.543; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1014166943
INFO  - 2016-06-02 20:29:51.581; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@4704735a
INFO  - 2016-06-02 20:29:51.588; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2016-06-02 20:29:51.589; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2016-06-02 20:29:51.589; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2016-06-02 20:29:51.589; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2016-06-02 20:29:51.590; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2016-06-02 20:29:51.591; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
